"Date","Price_Arabica","Price_Robusta","Close_USD_60kg"
2001-11-08,43.07,21.75,60.5167275
2001-11-09,42.73,22.06,59.1278200091934
2001-11-13,42.78,22.05,59.3262324816132
2001-11-14,44.35,22.06,65.7416700091934
2001-11-16,44.99,22.42,64.3527625183868
2001-11-19,44.31,22.03,60.7812825091934
2001-11-20,43.5,21.77,61.0458375183868
2001-11-21,44.27,21.91,61.3765300183868
2001-11-26,45.72,22.75,60.5167275
2001-11-27,44.02,22.49,56.0854500183868
2001-11-28,43.75,22.29,56.0854500183868
2001-11-29,42.98,21.89,55.55634
2001-11-30,43.85,22.24,56.3499999816132
2001-12-03,43.74,22.59,55.8208950091934
2001-12-04,43.89,22.36,54.894955
2001-12-05,43.91,21.94,55.6886149816131
2001-12-06,44.3,22.15,55.55634
2001-12-07,44.46,22.2,56.87911
2001-12-10,45.03,22.62,57.540495
2001-12-11,44.47,22.03,58.0696050183868
2001-12-12,44.8,22.04,58.6648474816132
2001-12-13,44.82,21.93,58.4002975183868
2001-12-14,44.62,21.81,57.9373249908066
2001-12-17,44.12,21.76,61.3103874816132
2001-12-18,44.52,21.85,60.9796949816132
2001-12-19,44.46,21.7,62.0379150183868
2001-12-20,45.03,21.25,65.6093899816131
2001-12-21,44.34,21.43,61.7072225183868
2001-12-27,44.48,21.04,61.508805
2001-12-28,44.33,21.47,61.1119750091934
2002-01-02,45.47,21.53,62.6331574816132
2002-01-03,46.16,21.61,62.831575
2002-01-04,45.67,21.35,64.2204824908066
2002-01-07,45.91,21.5,63.8236525
2002-01-08,45.66,21.03,64.2204824908066
2002-01-09,47.35,21.59,67.2628524816132
2002-01-10,46.95,21.33,67.8580999908066
2002-01-11,45.75,21.2,65.5432524908066
2002-01-14,46.49,21.27,66.6676100183868
2002-01-15,47.23,21.77,66.4691925
2002-01-16,47.11,21.88,65.1464225
2002-01-17,46.83,21.66,64.6173124816132
2002-01-18,46.36,21.78,62.6993000183868
2002-01-22,46.04,21.45,61.9056349908066
2002-01-23,46.53,21.31,61.8394975
2002-01-24,46.8,21.25,61.4426675091934
2002-01-25,45.96,21.01,60.7151450183868
2002-01-28,45.56,20.89,59.5907874908066
2002-01-29,45.5,20.72,59.1278200091934
2002-01-30,45.61,20.5,59.7230675183868
2002-01-31,45.78,20.56,59.6569249816132
2002-02-01,45.81,20.48,60.1198975091934
2002-02-04,45.58,20.27,60.186035
2002-02-05,45.42,20.17,59.3262324816132
2002-02-06,45.28,19.97,59.6569249816132
2002-02-07,45.16,19.7,59.2600949908066
2002-02-08,45.29,19.72,58.9294024908066
2002-02-13,45.63,20.15,57.4082200183868
2002-02-14,45.69,19.96,57.8711875
2002-02-15,45.83,20.05,58.3341549816132
2002-02-19,46.07,20.17,57.9373249908066
2002-02-20,46.58,20.29,62.2363274908066
2002-02-21,47.32,20.85,64.81573
2002-02-22,46.39,20.93,63.49296
2002-02-25,45.42,20.85,62.2363274908066
2002-02-26,45.59,21.04,60.6490024816132
2002-02-27,45.59,21.04,59.0616825183868
2002-02-28,46.28,21.7,59.1939575
2002-03-01,46.51,21.59,60.6490024816132
2002-03-04,46.75,22.22,60.5167275
2002-03-05,47.72,22.34,61.9056349908066
2002-03-06,47.62,21.98,63.8236525
2002-03-07,47.08,22.75,62.6993000183868
2002-03-08,48.12,23.29,64.0882075091934
2002-03-11,50.64,24.94,69.9083924816131
2002-03-12,52.14,25.52,73.2814600183868
2002-03-13,50.51,24.39,71.9586900183868
2002-03-14,50.42,23.76,71.8264099908066
2002-03-15,50.2,23.23,72.4216575
2002-03-18,48.04,22.25,66.9321599816132
2002-03-19,48.98,22.89,70.5697774816132
2002-03-20,51.1,24.53,74.07512
2002-03-21,50.22,24.21,71.3634425091934
2002-03-22,50.54,24.41,71.8264099908066
2002-03-25,50.23,23.97,72.0248275091934
2002-03-26,51.11,24.49,72.8184874908066
2002-03-27,51.62,24.85,74.0089825091934
2002-03-28,52.5,25.7,75.6624450091934
2002-04-01,53.44,25.64,77.382045
2002-04-02,55.22,26.51,78.5063974816131
2002-04-03,54.7,25.86,78.6386775091934
2002-04-04,53.21,25.58,75.1333349908066
2002-04-05,52.09,25.38,72.75235
2002-04-08,51.07,24.83,71.4957174908066
2002-04-09,53.08,25.59,74.2073949816131
2002-04-10,53.06,25.8,74.1412574908066
2002-04-11,52.32,25.06,72.6862125091934
2002-04-12,50.31,24.36,70.3713650091934
2002-04-15,50.26,24.35,70.3052275183868
2002-04-16,49.7,24.25,70.10681
2002-04-17,49.38,24.13,70.768195
2002-04-18,51.49,24.67,73.7444275
2002-04-19,49.7,24.2,70.1729474908066
2002-04-22,49.93,24.1,71.2311624816132
2002-04-23,50.07,24.22,71.9586900183868
2002-04-24,49.13,24.31,69.9083924816131
2002-04-25,47.47,23.91,66.799885
2002-04-26,47.14,23.86,65.7416700091934
2002-04-29,46.81,23.74,65.3448400183868
2002-04-30,47.07,24.02,67.0644400091934
2002-05-02,45.28,23.8,64.6173124816132
2002-05-03,44.73,23.86,64.81573
2002-05-06,45.13,23.72,64.5511749908066
2002-05-07,44.9,23.91,64.81573
2002-05-08,44.66,23.85,64.0220700183868
2002-05-09,43.03,22.64,62.5670199908066
2002-05-10,43.08,22.88,62.831575
2002-05-13,41.91,22.49,61.8394975
2002-05-14,42.29,22.68,62.831575
2002-05-15,42.17,22.98,62.7654375091934
2002-05-16,43.63,23.51,64.0220700183868
2002-05-17,43.11,23.45,64.0220700183868
2002-05-20,43.22,23.99,65.2125599908066
2002-05-21,43.96,24.54,69.7099800091934
2002-05-22,42.53,23.52,67.0644400091934
2002-05-23,42.44,23.5,67.0644400091934
2002-05-24,42.45,23.61,67.9903800183868
2002-05-28,42.4,23.75,66.9321599816132
2002-05-29,43.05,24.33,68.3210725183868
2002-05-31,43.15,24.44,68.6517650183868
2002-06-03,42.41,24.29,67.7258250091934
2002-06-04,41.69,23.77,67.2628524816132
2002-06-05,41.34,24.42,66.3369175183868
2002-06-06,40.96,24.39,66.4691925
2002-06-07,40.03,24.44,65.0141475183868
2002-06-10,40.97,24.33,65.477115
2002-06-11,40.31,23.96,65.2786974816132
2002-06-12,39.31,23.46,64.6834550183868
2002-06-13,39.23,24.39,62.4347450091934
2002-06-14,38.82,23.83,61.4426675091934
2002-06-17,39.32,24.43,62.3024649816132
2002-06-18,38.62,23.92,61.5749424908066
2002-06-19,38.73,24.29,61.4426675091934
2002-06-20,38.22,23.95,63.2284049908066
2002-06-21,37.81,24.03,62.3024649816132
2002-06-24,37.73,24.47,63.3606850183868
2002-06-25,37.17,24.18,62.4347450091934
2002-06-26,36.37,23.81,62.0379150183868
2002-06-27,36.46,24.26,61.9717724816132
2002-06-28,36.54,23.95,61.508805
2002-07-01,35.86,23.75,63.2284049908066
2002-07-02,37.1,24.26,66.0062250183868
2002-07-03,36.02,24.22,63.6913775183868
2002-07-08,36.13,24.3,64.154345
2002-07-10,37.21,24.42,66.1385
2002-07-11,39.63,25.48,68.6517650183868
2002-07-12,37.57,25.11,65.9400824816131
2002-07-15,36.75,23.92,64.81573
2002-07-16,36.84,24,65.2125599908066
2002-07-17,36.63,24.18,65.8078075
2002-07-18,36.07,24.32,62.9638499816132
2002-07-19,35.87,24.17,62.6331574816132
2002-07-22,35.34,23.96,64.0882075091934
2002-07-23,35.67,23.86,64.5511749908066
2002-07-24,34.69,23.65,63.2284049908066
2002-07-25,34.83,23.45,63.9559274816132
2002-07-26,34.42,23.35,64.0220700183868
2002-07-29,32.91,21.83,62.5008825
2002-07-30,31.86,21.35,62.2363274908066
2002-07-31,30.92,20.68,61.9056349908066
2002-08-01,33.72,22.59,62.831575
2002-08-02,35.52,23.84,63.6252349816132
2002-08-05,33.34,22.56,62.3686075183868
2002-08-06,34.43,23.25,62.6331574816132
2002-08-07,35.14,23.67,62.6331574816132
2002-08-08,36.43,24.3,63.3606850183868
2002-08-09,35.14,23.26,62.8977124908066
2002-08-12,34.53,22.52,64.0882075091934
2002-08-13,34.88,22.64,63.3606850183868
