"Date","Temp_Max","Temp_Min","Humidity","Solar_Radiation","Precipitation_mm"
2001-01-01,28.36,17.77,80.81,24.64,3.89
2001-01-02,26.69,16.75,84.83,20.79,7.78
2001-01-03,28.19,18.69,83.58,18.56,11.92
2001-01-04,25.06,19.32,87.79,24.8,2.92
2001-01-05,28.27,17.89,75.54,25.73,0.58
2001-01-06,29.24,18.24,75.24,29.08,0.1
2001-01-07,29.34,17.92,73.56,29.59,0.59
2001-01-08,28.33,18.63,77.4,27.29,4.47
2001-01-09,27.91,18.38,81.38,25.33,8.27
2001-01-10,27.16,18.68,81.13,21.99,2.45
2001-01-11,26.88,18,68.54,29.2,3.37
2001-01-12,27.45,16.97,72.15,25.57,5.96
2001-01-13,26.27,18.39,81.35,24.22,14.12
2001-01-14,26.54,17.51,80.08,25.61,3.59
2001-01-15,27.18,16.87,79.34,26.97,0.12
2001-01-16,27.83,17.19,79.88,26.88,0.08
2001-01-17,27.87,17.22,78.39,29.53,0
2001-01-18,28.17,17.44,78.92,29.17,0.4
2001-01-19,28.48,18.86,80.6,27.87,7.43
2001-01-20,25.63,19.97,86.36,22.95,2.26
2001-01-21,27.51,16.51,77.11,21.21,10.49
2001-01-22,26.57,17.72,84.81,19.86,5.02
2001-01-23,23.5,19.4,90.65,20.22,6.48
2001-01-24,25.84,18.51,83.69,16.88,7.25
2001-01-25,27.41,19.93,83.76,19.03,6.37
2001-01-26,24.78,19.75,84.83,13.14,4.19
2001-01-27,27.3,19.05,81.38,19.91,5.93
2001-01-28,27.44,19.7,79.8,15.83,14.3
2001-01-29,29.08,19.67,79.42,23.83,1.58
2001-01-30,28.19,20.3,79.2,20.84,10.18
2001-01-31,27.22,20.62,78,25.36,3.18
2001-02-01,27.44,20.49,79.92,24.66,2.17
2001-02-02,29.51,18.9,79.17,26.24,2.05
2001-02-03,28.39,20.43,77.21,25.68,3.31
2001-02-04,28.86,20.38,74.09,23.54,2.49
2001-02-05,28.06,20.63,81.55,22.36,15.44
2001-02-06,26.55,19.77,86.65,25.3,3.36
2001-02-07,28.26,17.54,82.63,21.62,3.6
2001-02-08,24.93,19.85,87.95,14.41,11.04
2001-02-09,24.56,18.95,86.41,13.89,4.86
2001-02-10,26.34,18.91,82.59,17.53,8.55
2001-02-11,29.49,18.41,71.43,24.37,2.45
2001-02-12,27.83,17.83,77.92,20.36,5.82
2001-02-13,25.72,19.96,82.47,13.46,6.45
2001-02-14,27.09,19.35,81,23.53,2.22
2001-02-15,27.62,18.34,78.69,23.97,4.56
2001-02-16,28.63,18.77,77.58,25.8,9.7
2001-02-17,25.88,19.9,84.04,19.84,3.9
2001-02-18,28.93,18.34,74.24,27.35,0.71
2001-02-19,29.35,16.49,68.91,28,0.2
2001-02-20,28.97,17.53,75.45,25.8,0.52
2001-02-21,27.62,18.89,76.72,28.01,0.06
2001-02-22,27.73,17.88,79.41,21.6,0.1
2001-02-23,28.14,18.33,76.2,23.69,2.09
2001-02-24,25.16,19.75,81.85,25.52,1.68
2001-02-25,28.03,17.11,77.62,25.27,1.31
2001-02-26,28.71,18.38,77.72,27,0.34
2001-02-27,28.57,17.99,77.19,25.62,0.36
2001-02-28,27.42,16.68,78.84,25.51,0.13
2001-03-01,27.83,18.05,74.94,23.26,0.11
2001-03-02,27.85,16.69,75.08,24.99,1.52
2001-03-03,26.37,16.55,78.8,24.8,6.67
2001-03-04,28.02,16.34,72.84,25.29,3.57
2001-03-05,27.57,17.87,80.83,16.24,10.49
2001-03-06,26.12,17.56,85.65,19.03,3.36
2001-03-07,26.58,19.44,82.29,18.67,12.31
2001-03-08,27.25,18.93,82.49,14.34,6.08
2001-03-09,26.59,19.29,82.77,11.81,7.71
2001-03-10,25.07,18.46,88.9,9.36,8.97
2001-03-11,27.18,18.27,81.95,18.72,17.64
2001-03-12,25.24,18.97,88.44,15.9,5.2
2001-03-13,27.26,16.97,82.61,21.75,0.09
2001-03-14,27.35,17.48,82.73,21.04,0.03
2001-03-15,28.12,18.05,80.11,24.03,0.01
2001-03-16,28.42,16.97,73.88,24.34,0.12
2001-03-17,28.55,18.11,75.62,24.76,2.05
2001-03-18,27.81,20.46,83.6,23.2,1.51
2001-03-19,26.61,19.7,79.19,18.9,5.74
2001-03-20,27.38,17.13,79.21,19.35,10.88
2001-03-21,28.42,17.77,75.89,22.75,1.31
2001-03-22,27.55,17.35,75.85,23.83,0.14
2001-03-23,28.98,16.79,71.64,24.27,0.55
2001-03-24,27.01,18.75,73.03,23.33,1.88
2001-03-25,27.71,18.48,77.14,23.26,3.85
2001-03-26,27.44,17.2,76.59,22.36,2.27
2001-03-27,27.54,18.24,78.48,19.46,6.38
2001-03-28,27.14,17.13,75.18,19.14,27.11
2001-03-29,25.37,18.7,86.35,16.27,4.41
2001-03-30,22.81,18.03,89.07,11.46,9.48
2001-03-31,24.55,17.39,87.59,13.49,1.05
2001-04-01,25.72,17.67,83.51,21.08,0.91
2001-04-02,26.02,16.77,80.65,18.27,0.53
2001-04-03,25.72,16.39,82.6,19.2,0.86
2001-04-04,26.7,17.18,83.46,19.75,1.58
2001-04-05,26.92,18.19,83.73,19.28,0.45
2001-04-06,28.12,17.73,76.71,21.44,0.95
2001-04-07,27.54,18.45,79.51,21.42,0.48
2001-04-08,27.9,17.18,77.37,20.19,0.81
2001-04-09,27.15,18.62,81.33,19.32,0.46
2001-04-10,26.31,19.05,85.04,17.68,3.16
2001-04-11,29.12,19.67,78.68,20.35,0.22
