"Date","Price_Arabica","Price_Robusta"
2001-06-06,53.01,0
2001-06-07,53.3,0
2001-06-08,54.01,0
2001-06-11,52.27,0
2001-06-12,52.39,0
2001-06-13,52.28,0
2001-06-15,53.05,0
2001-06-18,54.98,0
2001-06-19,51.31,0
2001-06-20,51.08,0
2001-06-21,53.54,0
2001-06-22,52.68,0
2001-06-25,52.13,0
2001-06-26,51.67,0
2001-06-27,52.16,0
2001-06-28,52.04,0
2001-06-29,51.48,0
2001-07-02,49.54,0
2001-07-03,49.44,0
2001-07-04,48.36,0
2001-07-05,47.27,0
2001-07-06,47.08,0
2001-07-10,47.22,0
2001-07-11,46.27,0
2001-07-12,46.44,0
2001-07-13,46.02,0
2001-07-16,46.33,0
2001-07-17,47.44,0
2001-07-18,48.62,0
2001-07-19,47.25,0
2001-07-20,48.18,0
2001-07-23,48.26,0
2001-07-24,48.26,0
2001-07-25,46.56,0
2001-07-26,46.35,0
2001-07-27,46.33,0
2001-07-30,46.87,0
2001-07-31,45.99,0
2001-08-01,45.33,0
2001-08-02,44.97,0
2001-08-03,44.77,0
2001-08-06,45.05,0
2001-08-07,44.56,0
2001-08-08,44.9,0
2001-08-09,44.98,0
2001-08-10,43.5,0
2001-08-13,44.21,0
2001-08-14,44.11,0
2001-08-15,44.85,0
2001-08-16,45,0
2001-08-17,48.2,0
2001-08-20,45.24,0
2001-08-21,44.88,0
2001-08-22,45.97,0
2001-08-23,47.14,0
2001-08-24,45.78,0
2001-08-27,45.62,0
2001-08-28,45.79,0
2001-08-29,46.52,0
2001-08-30,45.6,0
2001-08-31,45.34,0
2001-09-03,44.64,0
2001-09-04,43.57,0
2001-09-05,43.57,0
2001-09-06,43.49,0
2001-09-10,43.14,0
2001-09-11,42.24,0
2001-09-12,41.66,0
2001-09-13,42.32,0
2001-09-14,42.45,0
2001-09-17,41.8,0
2001-09-18,41.53,0
2001-09-19,41.25,0
2001-09-20,40.33,0
2001-09-21,39.55,0
2001-09-24,41.3,0
2001-09-25,41.1,0
2001-09-26,41.06,0
2001-09-27,41.73,0
2001-09-28,40.29,0
2001-10-01,39.1,0
2001-10-02,38.16,0
2001-10-03,37.48,0
2001-10-04,37.55,0
2001-10-05,37.62,0
2001-10-08,37.29,0
2001-10-09,37.41,0
2001-10-10,37.52,0
2001-10-11,37.03,0
2001-10-15,36.92,0
2001-10-16,37.72,0
2001-10-17,37.93,0
2001-10-18,39.01,0
2001-10-19,37.86,0
2001-10-22,37.5,0
2001-10-23,38.13,0
2001-10-24,37.8,0
2001-10-25,39.71,0
2001-10-26,38.48,0
2001-10-29,39.08,0
2001-10-30,39.14,0
2001-10-31,40.43,0
2001-11-01,41.41,0
2001-11-05,42.98,0
2001-11-06,43.76,0
2001-11-07,44.14,0
2001-11-08,43.07,21.75
2001-11-09,42.73,22.06
2001-11-12,42.29,21.81
2001-11-13,42.78,22.05
2001-11-14,44.35,22.06
2001-11-16,44.99,22.42
2001-11-19,44.31,22.03
2001-11-20,43.5,21.77
2001-11-21,44.27,21.91
2001-11-22,44.54,22.05
2001-11-23,45.11,22.26
2001-11-26,45.72,22.75
2001-11-27,44.02,22.49
2001-11-28,43.75,22.29
2001-11-29,42.98,21.89
2001-11-30,43.85,22.24
2001-12-03,43.74,22.59
2001-12-04,43.89,22.36
2001-12-05,43.91,21.94
2001-12-06,44.3,22.15
2001-12-07,44.46,22.2
2001-12-10,45.03,22.62
2001-12-11,44.47,22.03
2001-12-12,44.8,22.04
2001-12-13,44.82,21.93
2001-12-14,44.62,21.81
2001-12-17,44.12,21.76
2001-12-18,44.52,21.85
2001-12-19,44.46,21.7
2001-12-20,45.03,21.25
2001-12-21,44.34,21.43
2001-12-26,43.7,21.22
2001-12-27,44.48,21.04
2001-12-28,44.33,21.47
2002-01-02,45.47,21.53
2002-01-03,46.16,21.61
2002-01-04,45.67,21.35
2002-01-07,45.91,21.5
2002-01-08,45.66,21.03
2002-01-09,47.35,21.59
2002-01-10,46.95,21.33
2002-01-11,45.75,21.2
2002-01-14,46.49,21.27
2002-01-15,47.23,21.77
2002-01-16,47.11,21.88
2002-01-17,46.83,21.66
2002-01-18,46.36,21.78
2002-01-21,45.83,21.77
2002-01-22,46.04,21.45
2002-01-23,46.53,21.31
2002-01-24,46.8,21.25
2002-01-25,45.96,21.01
2002-01-28,45.56,20.89
2002-01-29,45.5,20.72
2002-01-30,45.61,20.5
2002-01-31,45.78,20.56
2002-02-01,45.81,20.48
2002-02-04,45.58,20.27
2002-02-05,45.42,20.17
2002-02-06,45.28,19.97
2002-02-07,45.16,19.7
2002-02-08,45.29,19.72
2002-02-13,45.63,20.15
2002-02-14,45.69,19.96
2002-02-15,45.83,20.05
2002-02-18,45.51,20.13
2002-02-19,46.07,20.17
2002-02-20,46.58,20.29
2002-02-21,47.32,20.85
2002-02-22,46.39,20.93
2002-02-25,45.42,20.85
2002-02-26,45.59,21.04
2002-02-27,45.59,21.04
2002-02-28,46.28,21.7
2002-03-01,46.51,21.59
2002-03-04,46.75,22.22
2002-03-05,47.72,22.34
2002-03-06,47.62,21.98
2002-03-07,47.08,22.75
2002-03-08,48.12,23.29
2002-03-11,50.64,24.94
2002-03-12,52.14,25.52
2002-03-13,50.51,24.39
2002-03-14,50.42,23.76
2002-03-15,50.2,23.23
2002-03-18,48.04,22.25
2002-03-19,48.98,22.89
2002-03-20,51.1,24.53
2002-03-21,50.22,24.21
2002-03-22,50.54,24.41
2002-03-25,50.23,23.97
2002-03-26,51.11,24.49
2002-03-27,51.62,24.85
2002-03-28,52.5,25.7
2002-04-01,53.44,25.64
2002-04-02,55.22,26.51
2002-04-03,54.7,25.86
2002-04-04,53.21,25.58
2002-04-05,52.09,25.38
2002-04-08,51.07,24.83
2002-04-09,53.08,25.59
2002-04-10,53.06,25.8
2002-04-11,52.32,25.06
2002-04-12,50.31,24.36
2002-04-15,50.26,24.35
2002-04-16,49.7,24.25
2002-04-17,49.38,24.13
2002-04-18,51.49,24.67
2002-04-19,49.7,24.2
2002-04-22,49.93,24.1
2002-04-23,50.07,24.22
2002-04-24,49.13,24.31
2002-04-25,47.47,23.91
2002-04-26,47.14,23.86
2002-04-29,46.81,23.74
2002-04-30,47.07,24.02
2002-05-02,45.28,23.8
2002-05-03,44.73,23.86
2002-05-06,45.13,23.72
2002-05-07,44.9,23.91
2002-05-08,44.66,23.85
2002-05-09,43.03,22.64
2002-05-10,43.08,22.88
2002-05-13,41.91,22.49
2002-05-14,42.29,22.68
2002-05-15,42.17,22.98
2002-05-16,43.63,23.51
2002-05-17,43.11,23.45
2002-05-20,43.22,23.99
2002-05-21,43.96,24.54
2002-05-22,42.53,23.52
2002-05-23,42.44,23.5
